ruzgardan rüzgardan
gormemisler görmemişler
cıkarmışlar çıkarmışlar
firsatimiz fırsatımız
söylecek söyleyecek
dahı dahi
cekseler çekseler
hatasiz hatasız
bıtırdım bitirdim
görede göre
yapıldıgı yapıldığı
dusundugum düşündüğüm
alexsandra Alexandra
yazdıgım yazdığım
düşünürek düşün
yok3 yok
yok2 yok
atmislar atmışlar
sirket şirket
sesizlik sessizlik
gorulen görülen
eylenceli eğlenceli
yı yıl
kesinllikle kesinlikle
baslayip başlayıp
şöyleki şöyle
sıddet şiddet
stenley Stanley
sıkıci sıkıcı
gib gibi
fılımı filmi
aksiyo aksiyon
manisada Manisa'da
yaslilar yaşlılar
btün bütün
almamasi almaması
kararsiz kararsız
aklina aklına
dali dalı
ğibi gibi
yanlari yanları
ziyi ziya
entresan enteresan
düşünüyodum düşünüyordum
bulundugum bulunduğum
anlayabilecegi anlayabileceği
etmedıgı etmediği
karesı karesi
anlatirken anlatırken
atolye atölye
insnaların insanların
bırılerı birileri
tae taş
internetden internetten
yavas yavaş
sevmedigim sevmediğim
emınım eminim
aklima aklıma
kırıklıgı kırıklığı
iyki iyi
daki dakika
dogalgaz doğalgaz
istiyenler isteyenler
birlesmis birleşmiş
edebılırım edebilirim
geçtigi geçtiği
kiymetli kıymetli
odamin odamın
olumu ölümü
tasarlanmiş tasarlanmış
sınemada sinemada
nasil nasıl
gidilebilcek gidilebilecek
olucaktı olacaktı
yasindaki yaşındaki
firat Fırat
ortasinda ortasında
anlayamadim anlayamadım
heer her
heep hep
icerisinde içerisinde
mühteşem muhteşem
iyiy iyi
yapmalari yapmaları
orasi orası
yonetim yönetim
yonlendirip yönlendirip
degerli değerli
hircin hırçın
çag çağ
dain daim
cikarsa çıkarsa
katl katla
kullandigi kullandığı
bulmus bulmuş
iyii iyi
hataliydi hatalıydı
siki sıkı
sanatcilar sanatçılar
gıder gider
gec geç
gıden giden
sıradısı sıradışı
gecıstırılıyor geçiştiriliyor
mühteşemdi muhteşemdi
civarinda civarında
yenıden yeniden
dahs daha
olmaniz olmanız
yataga yatağa
kalşte kalite
diyebilecegimiz diyebileceğimiz
meshurdur meşhurdur
cıktılar çıktılar
verılmelı verilmeli
gostermis göstermiş
olmanin olmanın
olabılırdı olabilirdi
performanası performansı
başarili başarılı
kisminda kısmında
bakalim bakalım
standartlarinda standartlarında
cikma çıkma
öncelıkle öncelikle
kesilmis kesilmiş
benzıyor benziyor
bolumunun bölümünün
calısılan çalışılan
kalı kalıp
mükayese mukayese
elektrigi elektriği
arikan Arıkan
bölümünu bölümünü
tamemen tamamen
veye veya
merakli meraklı
yaptirmak yaptırmak
yeralti yeraltı
turkler türkler
siir şiir
titanici Titanic'i
panaromik panoramik
vermeyın vermeyin
yk yok
babasinin babasının
yi yıl
arapca arapça
olucaz olacağız
cetin çetin
dusman düşman
ettigi ettiği
olucam olacağım
agirlik ağırlık
olucak olacak
süprizlerle sürprizlerle
alinacak alınacak
kalmayip kalmayıp
dogrusunu doğrusunu
kalmayin kalmayın
bakima bakıma
gbi gibi
haryy Harry
sölenecek söylenecek
gorebileceginiz görebileceğiniz
dogada doğada
yoneten yöneten
szi sizi
sü su
kımlıgını kimliğini
boylece böylece
kiilik kişilik
turkce türkçe
soyleyebilecegim söyleyebileceğim
guvendık güvendik
geldigini geldiğini
seyle şeyle
oren ören
düsünüyorum düşünüyorum
surprız sürpriz
digerlerini diğerlerini
kapl kapla
kapi kapı
oldurduler öldürdüler
baslayan başlayan
digerlerine diğerlerine
akiyor akıyor
mahçup mahcup
yemegi yemeği
ayrintili ayrıntılı
yemege yemeğe
cıkarın çıkarın
sorumlulugunu sorumluluğunu
orani oranı
danis danış
syg saygılar
hafizamda hafızamda
esprı espri
aralarindaki aralarındaki
beklıyoruz bekliyoruz
cikin çıkın
ayrca ayrıca
iydi iyi
turkay Türkay
dolaniyor dolanıyor
oldugunda olduğunda
agırlık ağırlık
orda orada
beklıyorum bekliyorum
olucakti olacaktı
dada daha
avcisi avcısı
korumasi koruması
gostermek göstermek
kayit kayıt
yumurtasi yumurtası
kiyisindan kıyısından
kayip kayıp
yaptıgı yaptığı
kullaniyorum kullanıyorum
kayin kayın
paylasmak paylaşmak
izliycem izleyeceğim
fetıh fetih
aliyorlar alıyorlar
oldugunca olduğunca
farkliliklar farklılıklar
tasarlanmis tasarlanmış
yazdiklarim yazdıklarım
leight light
uzerinde üzerinde
azaldi azaldı
mın mine
sınemanın sinemanın
uc üç
seyin şeyin
orali oralı
niteliginde niteliğinde
olucaksa olacaksa
seyim şeyim
ozellikleri özellikleri
oynadi oynadı
inanmiyorum inanmıyorum
anlarsiniz anlarsınız
tadindan tadından
somurmek sömürmek
donersınız dönersiniz
diyemiycem diyemeyeceğim
sayilabilecek sayılabilecek
ornek örnek
kurtulus kurtuluş
alaninin alanının
anlarim anlarım
hortkuluk korkuluk
tirnagi tırnak
almasi alması
dusunce düşünce
verıyorum veriyorum
yapmacik yapmacık
ıstıyorsanız istiyorsanız
haksiz haksız
yapiyorsaniz yapıyorsanız
degerdi değerdi
dıkkat dikkat
cevremdeki çevremdeki
sahsi şahsi
degerde değerde
hizli hızlı
esiginden eşiğinden
gorundugunden göründüğünden
kaln kalan
suz süz
hizla hızla
sadace sadece
kald kaldı
bildigimiz bildiğimiz
lousiana Louisiana
tamamıyle tamamıyla
sdece sadece
istediginizi istediğinizi
vern veren
arkadasınızla arkadaşınızla
tasin taşın
almadik almadık
suc suç
olabılır olabilir
nirmal normal
sua şua
verd verdi
20ye 20'ye
sonrasnda sonrasında
karsinizda karşınızda
fılım film
söylim söyle
sergiledigi sergilediği
agaçtan ağaçtan
baris barış
alinmasi alınması
işde işte
vrdı vardı
kurtulmus kurtulmuş
bogazi boğazı
musunz musunuz
kaliyeli kaliteli
yaptığınıda yaptığınızda
kı ki
russel Russell
gozleri gözleri
profosör profesör
kardesim kardeşim
kücüklere küçüklere
mardini Mardin'i
iler ileri
işci işçi
olmustur ölmüştür
arıyanlar arayanlar
bazinda bazında
bügüne bugüne
olmıyacak olmayacak
olmustum olmuştum
yazdiklari yazdıkları
olmustuk ölmüştük
olsaniz olsanız
fazlasyla fazlasıyla
kaydi kaydı
ayakkabisiyla ayakkabısıyla
cekmez çekmez
gecıyor geçiyor
yapiyo yapıyor
rengı renk
pk ok
kisisel kişisel
kalkiyorum kalkıyorum
cekmek çekmek
olusturulmus oluşturulmuş
uzaklasip uzaklaşıp
srekli sürekli
srf sırf
binayi binayı
konusuyo konuşuyor
olmadigina olmadığına
oz öz
kaliyorsunuz kalıyorsunuz
sundugu sunduğu
vereceginiz vereceğiniz
caldiklari çaldıkları
biriymis biriymiş
bozmus bozmuş
or ora
azimsanmayacak azımsanmayacak
alaninda alanında
cikmakta çıkmakta
dusunerek düşünerek
baglamaya bağlamaya
çanakkalenin Çanakkale'nin
kalin kalın
yillara yılları
yaparim yaparım
edemezsınız edemezsiniz
dollar dolar
utandim utandım
cikar çıkar
vaktınız vaktiniz
cikan çıkan
herkez herkes
tarafi tarafı
siralarda sıralarda
kaybi kayıp
nu numara
espirisi esprisi
dagıtmış dağıtmış
luks lüks
bılgıyı bilgiyi
dupeduz düpedüz
verıcı verici
performansini performansını
karakterlerı karakterleri
aslaa asla
ıyıydı iyiydi
kalmamasi kalmaması
eksıklık eksiklik
performansina performansına
konulmamis konulmamış
safhadaydi safhadaydı
etmiyen etmeyen
oturmasi oturması
kapancak kapanacak
çokda çok
soz söz
davranis davranış
mt mı
almali almalı
cozmek çözmek
sov şov
çoçuklar çocuklar
düsünmeyin düşünmeyin
akilli akıllı
yapilmasini yapılmasını
etmiyeyim etmeyeyim
igili ilgili
cıkartın çıkartın
yapilmasina yapılmasına
fotografçı fotoğrafçı
donut dönüt
donus dönüş
pierra Pierre
gösterdigi gösterdiği
dugun düğün
normel normal
adinda adında
ilac ilaç
çokca çokça
3lü 3'lü
uzmani uzmanı
detayli detaylı
becerı beceri
demistim demiştim
israilden Israil'den
gececeksınız geçeceksiniz
kanali kanalı
dedigimiz dediğimiz
fılmlerını filmlerini
kurus kuruş
gıtmeyenler gitmeyenler
sne sene
yapacagimiz yapacağımız
kz kız
kadr kadar
olmamsı olmaması
etkısındeyım etkisindeyim
aralıgı aralığı
yazi yazı
askiyon aksiyon
yeniceri yeniçeri
işleride işlerde
kada kadar
iliski ilişki
ilgileniyolar ilgileniyorlar
katagorideki kategorideki
yapamadi yapamadı
subat şubat
sevıyorum seviyorum
yapılacagı yapılacağı
oynuyan oynayan
anlasilmiyor anlaşılmıyor
guney güney
harli harlı
gelecegi geleceği
dünyasi dünyası
hosca hoşça
armasi arması
yayi yayı
tartismasiz tartışmasız
goruyorsunuz görüyorsunuz
slm selam
sahit şahit
gecirici geçirici
sahis şahıs
demıstım demiştim
cikaran çıkaran
kaldi kaldı
kılasik klasik
surf sörf
sahin şahin
karısım karışım
yonden yönden
karısık karışık
alıyorsuuz alıyorsunuz
yahsi Yahşi
iy iyi
basimdan başımdan
değişiyo değişiyor
yaklasamaz yaklaşamaz
ettı etti
ısık ışık
yapıyosun yapıyorsun
insanlarin insanların
gunde günde
hatirina hatırına
seviyo seviyor
muaazam muazzam
kevın Kevin
tavirlar tavırlar
oldugumuz olduğumuz
ii iyi
alaksız alakasız
ic iç
vermistir vermiştir
kisileri kişileri
kisilere kişilere
deymez değmez
kaar kar
normak normal
avataj avantaj
bı bir
bilmiyenler bilmeyenler
cekmesı çekmesi
bilimum bilumum
dıkkatımı dikkatimi
hazirlamislar hazırlamışlar
bılgısı bilgisi
cozemedim çözemedim
cekmeye çekmeye
harik harika
cıktı çıktı
vazgectim vazgeçtim
katilmasi katılması
haric hariç
espirili esprili
gr gör
abartiyorlardir abartıyorlardır
tadmak tatmak
gidilebilr gidilebilir
arasıdna arasından
gecırmeye geçirmeye
katkisi katkısı
veriyom veriyorum
yava tava
tarihden tarihten
usulu usulü
sig sığ
bü bu
foy föy
gıdecegım gideceğim
aliyorum alıyorum
ayırılması ayrılması
gorebilirsiniz görebilirsiniz
etmiyelim etmeyelim
gunah günah
cekiliyor çekiliyor
donmus dönmüş
yuklenır yüklenir
getırıyorlar getiriyorlar
foe fidan
koyduklari koydukları
havanin havanın
uyari uyarı
dünyann dünyanın
dolayisiyla dolayısıyla
ınceleyın inceleyin
cocuğun çocuğun
bulmakda bulmakta
rezarvasyon rezervasyon
akdar kadar
almadi almadı
eleştrim eleştirim
çekiçi çekici
akilda akılda
acici açıcı
tarzi tarzı
anliyor anlıyor
derinliginde derinliğinde
takilmayin takılmayın
inanilmaz inanılmaz
kımyası kimyası
konusund konusunda
atatürkün Atatürk'ün
yasi yaş
cografyası coğrafyası
söylendigi söylendiği
yapimi yapımı
çetın çetin
biliyosun biliyorsun
sicak sıcak
edicekler edecekler
gıtmısım gitmişim
yaratıldıgını yaratıldığını
dünyali dünyalı
cocuk çocuk
ekıbını ekibini
yarm yarım
sey şey
degillerdi değillerdi
fln falan
fazlasi fazlası
olanlari olanları
serının serinin
co çok
zıyade ziyade
ck çok
hazirlaniyor hazırlanıyor
kenera kenara
kalkmis kalkmış
by bu
alkis alkış
koyle kolye
bn ben
alıyolar alıyorlar
bi bir
harikasin harikasın
ıyıler iyiler
cikiyor çıkıyor
cekmesi çekmesi
odul ödül
sorgulatiyor sorgulatıyor
uslubu üslubu
yapt yaptı
taşiyan taşıyan
anlatayim anlatayım
yapi yapı
goturdugu götürdüğü
yaziyorum yazıyorum
bakıs bakış
gonulden gönülden
gibii gibi
olabıleceğını olabileceğini
ac aç
borno bornoz
hayatinizda hayatınızda
krıterlerden kriterlerden
gelmisti gelmişti
muhtesemm muhteşem
fir fır
givi gibi
snake snacke
tarafindan tarafından
guldurucu güldürücü
ugradıgı uğradığı
gıttıkce gittikçe
olmasaydi olmasaydı
odaniza odanıza
cıksa çıksa
süslenmis süslenmiş
fia Fiat
gerken gereken
arkadaslık arkadaşlık
monu mönü
harab harap
gerektigini gerektiğini
zanettim zannettim
diyecegim diyeceğim
yirtici yırtıcı
kulubunun kulübünün
yapiyor yapıyor
istemiyo istemiyor
mıstık mistik
gerekiyo gerekiyor
çoçuklarıyla çocuklarıyla
sag sağ
gulerek gülerek
zulum zulüm
zayıp zayıf
ızlenmesı izlenmesi
ucakta uçakta
verdı verdi
yanlışıkla yanlışlıkla
kaybina kaybına
sebebden sebepten
olnası olması
ızlenmeye izlenmeye
sevinc sevinç
açıkca açıkça
ögleden öğleden
sahnelerın sahnelerin
gormedim görmedim
ızleme izleme
şeçim seçim
bızle bizle
elaman eleman
yagıslı yağışlı
dunyayı dünyayı
mızahı mizahı
sevgılınız sevgiliniz
oscarda Oscar'da
kurfu kurgu
olmazdi olmazdı
kismi kısmı
doner döner
dusmesi düşmesi
giri gri
kisma kısma
göge göğe
demeyelım demeyelim
otraya oraya
knusunda konusunda
satti sattı
mucevher mücevher
türkce türkçe
kurdistan Kürdistan
1930lar 1930'lar
müzigi müzik
jonny Johnny
gıtmıyor gitmiyor
olaganüstü olağanüstü
yapilsa yapılsa
eteş ateş
yildizli yıldızlı
belirttigim belirttiğim
biyik bıyık
olmadıgım olmadığım
olmamiz olmamız
anlamina anlamına
irmak ırmak
kayıta kayıt
olmamis olmamış
parasiz parasız
ettigimiz ettiğimiz
haksizlik haksızlık
soyleyemem söyleyemem
agrisi ağrısı
cıkmadan çıkmadan
soruyosunuz soruyorsunuz
olmadigindan olmadığından
mükkemeldi mükemmeldi
yapida yapıda
oymus oymuş
edeceginiz edeceğiniz
kullanisli kullanışlı
muhakak muhakkak
cabuk çabuk
harıkaydı harikaydı
kurtardi kurtardı
cerezlik çerezlik
konusuda konusunda
dusunduruyor düşündürüyor
cesit çeşit
gectiği geçtiği
kurtarici kurtarıcı
yerım yerim
calinan çalınan
gormeden görmeden
sonrasindaki sonrasındaki
koltugunda koltuğunda
fotograflardan fotoğraflardan
sorunlari sorunları
beğenmedım beğenmedim
bulunmas bulunmaz
nizi bizi
nize bize
gecırıp geçirip
hakkeden hakeden
kisir kısır
uygulanir uygulanır
serısıne serişine
tarzinda tarzında
kisim kısım
guzle güzel
cıkmıyor çıkmıyor
çalışıyolar çalışıyorlar
muhtemlen muhtemelen
kulubü kulübü
gini gibi
cıkamadım çıkamadım
hazirlayan hazırlayan
italyada Italya'da
suana sauna
gina gına
donmesı dönmesi
yaga yağ
billi belli
buyrun buyur
damir demir
gunler günler
espirileri esprileri
etmıyor etmiyor
kismina kısmına
farkinda farkında
askin aşkın
askim aşkım
olmustu olmuştu
olduğunuda olduğunda
yenılıyor yeniliyor
varlik varlık
gill Grill
olabilecegi olabileceği
bırının birinin
etkısınde etkisinde
kaliyoruz kalıyoruz
açılmıyo açılmıyor
saldiri saldırı
seslerınden seslerinden
skecler skeçler
bızde bizde
heycanlı heyecanlı
ıstedıgımı istediğimi
adindaki adındaki
apka şapka
degismeyen değişmeyen
sunda şunda
sokagin sokağın
bilig bilgi
ucret ücret
kisilerle kişilerle
dusus düşüş
soylesem söylesem
batiyordu batıyordu
firsati fırsatı
dusup düşüp
dercede derecede
dusuk düşük
olduğui olduğu
hatirlatmak hatırlatmak
düsürmek düşürmek
ocean Ocean'a
arıyosanız arıyorsanız
anindan anından
geciyorsunuz geçiyorsunuz
dustu düştü
onermem önermem
serısı serişi
ayaklari ayakları
dusunulerek düşünülerek
sıkandal skandal
yuzunuzden yüzünüzden
tanesını tanesini
gzeldi güzeldi
uzucu üzücü
rusell Russell
igrencti iğrençti
zamnlarda zamanlarda
kotuler kötüler
tarhi tarihi
ardinda ardında
yapilir yapılır
söledi söyledi
goruntuye görüntüye
yapilip yapılıp
uymamıs uymamış
beyenmedim beğenmedim
çıkt çıktı
sekli şekli
degisimi değişimi
guzel güzel
bicimi biçimi
edebilecegim edebileceğim
seylerden şeylerden
kisilerin kişilerin
getirmis getirmiş
dalası dalaşı
donmesi dönmesi
calışanlara çalışanlara
biley bilet
satip satıp
afedersiniz affedersiniz
satin satın
dusuncesindeyim düşüncesindeyim
soylemistim söylemiştim
insaallah inşallah
lights light
tevbe tövbe
soylemeye söylemeye
uymus uymuş
dunyasi dünyası
gitdim gittim
fazl fazla
açiklayici açıklayıcı
keyifi keyfi
gitdik gittik
aklimizda aklımızda
olusmus oluşmuş
yaklasip yaklaşıp
yaklasim yaklaşım
yaklasik yaklaşık
olacagı olacağı
etrafda etrafta
otesıne ötesine
igrenç iğrenç
aksıyon aksiyon
kıtap kitap
anlatimi anlatımı
tabsiye tavsiye
örnegin örneğin
kavgalari kavgaları
duzeltmeleri düzeltmeleri
kapatip kapatıp
fılmlerden filmlerden
batiyor batıyor
olması2 olması
icerisindeki içerisindeki
anladim anladım
anladik anladık
goremiyorsunuz göremiyorsunuz
uyumayi uyumayı
ektra ekstra
gidn gidin
kalkip kalkıp
yurumeye yürümeye
guvenimi güvenimi
evt evet
cıkar çıkar
cıkan çıkan
sagma sağma
dısında dışından
edebilr edebilir
hurriyet hürriyet
seyırcı seyirci
bakmayin bakmayın
basbasa başbaşa
sayilari sayıları
eger eğer
bırakmıs bırakmış
bahadir bahadır
odaa oda
göremıyoruz göremiyoruz
olduğnu olduğunu
seviyosanız seviyorsanız
yapildi yapıldı
görmüyo görmüyor
ıolarak olarak
kisimlar kısımlar
acim açık
askina askına
acik açık
şasırdım şaşırdım
yeteneklı yetenekli
koltugu koltuk
müzüği müziği
ett et
kisilerde kişilerde
kontrolu kontrolü
harkulade harikulade
gerılım gerilim
guzl güzel
eskıden eskiden
imaji imajı
koltuga koltuk
bittigini bittiğini
sılahları silahları
muzik müzik
aktarimi aktarımı
cogunlukla çoğunlukla
begendim beğendim
bırkac birkaç
begendik beğendik
puanim puanım
aradıgınız aradığınız
inanmayin inanmayın
kutuphane kütüphane
düsündüm düşündüm
nile bile
denızın denizin
cabasinda çabasında
anlatabılır anlatabilir
acıklayıcı açıklayıcı
diyecem diyeceğim
kardes kardeş
holivut hollywood
görüyo görüyor
karsilamadi karşılamadı
cimere Cimer'e
suphem şüphem
süüper süper
oncesi öncesi
gostermiyor göstermiyor
coskun çoşkun
fazala fazla
yapilan yapılan
sozleri sözleri
agzımıza ağzımıza
zekali zekalı
rasgele rastgele
isgal işgal
muthıs müthiş
olacagi olacağı
gercekligi gerçekliği
verilmis verilmiş
muzıklerı müzikleri
alamiyorsunuz alamıyorsunuz
yardimi yardımı
kadinla kadınla
ozgur özgür
ozgun özgün
kalmasi kalması
oncekı önceki
baslaması başlaması
parayi parayı
basladım başladım
hazirlanmis hazırlanmış
yaklasan yaklaşan
performasnı performansını
dıgerı diğeri
ögrendim öğrendim
cıkarırlar çıkarırlar
yapilamaz yapılamaz
azndan azından
bulundugu bulunduğu
kultur kültür
berbatt berbat
kirmak kırmak
istediginiz istediğiniz
olusturuyor oluşturuyor
yatip yatıp
havacilik havacılık
yatin yatın
veriyorlardi veriyorlardı
adamlari adamları
mürettabatı mürettebatı
verılmıs verilmiş
verıyor veriyor
koymus köymüş
emın emin
olmadilar olmadılar
sacece sadece
kostum köstüm
soyleyeyim söyleyeyim
anlami anlamı
kımın kimin
aklimda aklımda
tesekkur teşekkür
uzaklastir uzaklaştır
kadinin kadının
diyologları diyalogları
degisecek değişecek
piskopat psikopat
sartlar şartlar
benım benim
tehtit tehdit
tahamül tahammül
zaren zaten
suzme süzme
gostermeye göstermeye
tehtid tehdit
cocuktu çocuktu
tarıhınde tarihinde
alabılecek alabilecek
natalıa Natalia
alandakı alandaki
kebab kebap
anlik anlık
gitmisiz gitmişiz
sagda sağda
kendsi kendisi
klum kum
cocukta çocukta
kaliyordu kalıyordu
gitmisim gitmişim
jonhson Johnson
acak ancak
tamami tamamı
ugraslar uğraşlar
fiyatli fiyatlı
insalar insanlar
seyırcılerın seyircilerin
yapmadıgı yapmadığı
dusen düşen
cahıl cahil
etkısı etkisi
yukarda yukarıda
yazıyo yazıyor
cocuklarinizla çocuklarınızla
cevreye çevreye
olabilidi olabilirdi
ihityacımız ihtiyacımız
gıtmedıgım gitmediğim
yuzuk yüzük
atıyo atıyor
geçicem geçeceğim
çıkıyosunuz çıkıyorsunuz
geçicek geçecek
karartici karartıcı
sıstemıne sistemine
olayini olayını
yagli yağlı
interneten internetten
nide Niğde
anilari anıları
olayina olayına
takiliyor takılıyor
süleymanın Süleyman'ın
olmayip olmayıp
gecmeyın geçmeyin
olunce ölünce
dersenız derseniz
olmayin olmayın
ocuk çocuk
parasi parası
gecilmiyor geçilmiyor
oksana Okşan'a
gerçkten gerçekten
onceki önceki
kralice kraliçe
olaganüstüydü olağanüstüydü
gecebilirsiniz geçebilirsiniz
gıdıyormuş gidiyormuş
basarılı başarılı
edeerim ederim
yagdı yağdı
okudugumuzda okuduğumuzda
muthişti müthişti
çıkıo çıkıyor
odakli odaklı
ciglik çığlık
zamaniniz zamanınız
onune önüne
mevkii mevkisi
yanlıslıkla yanlışlıkla
kokteyleri kokteylleri
dunyada dünyada
eskı eski
kardesleri kardeşleri
odeyerek ödeyerek
çekicez çekeceğiz
diyolog diyalog
seyredılen seyredilen
siirler şiirler
sifresi şifresi
bılmeden bilmeden
maul Mail
soguk soğuk
ıspatlamış ispatlamış
eglenmek eğlenmek
onume önüme
çekicek çekecek
gunu günü
maui Mail
gıttıgınızde gittiğinizde
umarm umarım
düşücek düşün
kendni kendini
silahşör silahşor
karsisinda karşısında
şevkat şefkat
gune güne
diyologlari diyalogları
nufüs nüfus
gostermesi göstermesi
tanımadıgım tanımadığım
sartlarinda şartlarında
degiştirmiş değiştirmiş
nurı Nuri
arkadas arkadaş
ıyi iyi
olduguydu olduğuydu
karikatur karikatür
tugçe Tuğçe
getiryor getiriyor
yapiyolar yapıyorlar
sömestr sömestir
tatalı tatlı
loves Love
eşşiz eşsiz
civik cıvık
iliskilerinin ilişkilerinin
zamanini zamanını
rğmen rağmen
dkika dakika
adamlarin adamların
ozellikle özellikle
dıyoruz diyoruz
goturdum götürdüm
ızlemezdım izlemezdim
kogusu koğuşu
sıradında sırasında
goturun götürün
olmasini olmasını
dıyorum diyorum
bılmıyorum bilmiyorum
sagladı sağladı
rezarvuar rezervuar
gule güle
olmasina olmasına
zamanimi zamanımı
yardimcisi yardımcısı
yatagıma yatağıma
cocuklu çocuklu
tilsimli tılsımlı
yapilirken yapılırken
bekledım bekledim
yapmaniz yapmanız
vercem vereceğim
eek etek
sinra sonra
baktim baktım
kafasinda kafasında
degistirmeden değiştirmeden
yazıo yazın
cocukla çocukla
tamaen tamamen
orantili orantılı
kalıcağını kalacağını
parami paramı
tepkıler tepkiler
yapılmı yapılmış
efso efsane
gulun gülün
saglamak sağlamak
facebooktan Facebook'tan
gundelik gündelik
wakit vakit
aglayarak ağlayarak
yapilabiliyor yapılabiliyor
nukleer nükleer
zamaninda zamanında
öldu öldü
tarafinin tarafının
yanindan yanından
bulamiyorum bulamıyorum
birakmiyor bırakmıyor
kalfalik kalfalık
masha maşa
tesekkurlerimi teşekkürlerimi
barindiran barındıran
ögrencisi öğrencisi
çogunlukla çoğunlukla
tazr tarz
cıft çift
rahatsiz rahatsız
gozukmeyen gözükmeyen
eşşek eşek
basinda basında
daniskasi daniskası
ayaklarinizi ayaklarınızı
ayriyetten ayrıyeten
gulse gülse
arkadaslarla arkadaşlarla
isareti işareti
kalmadi kalmadı
felan falan
olduklari oldukları
kirik kırık
open öpen
ıse ise
bılgı bilgi
otesinde ötesinde
esit eşit
uygulamasi uygulaması
beklesınler beklesinler
canli canlı
kacarken kaçarken
arkadasım arkadaşım
mudahale müdahale
arıyolar arıyorlar
teskil teşkil
sirketi şirketi
anlıyamadım anlayamadım
calarak çalarak
esliginde eşliğinde
safada Safa
cocugu çocuğu
ozetle özetle
göstermiyo göstermiyor
ıkı iki
girisler girişler
tarafıda taraf
sikayetim şikayetim
yuksek yüksek
anlatacagim anlatacağım
sagladi sağladı
arkadaslarin arkadaşların
yaptigim yaptığım
cocuga çocuğa
arkadaslarim arkadaşlarım
ukranyalı ukraynalı
ıkıncı ikinci
esnasinda esnasında
gucsuz güçsüz
cerez çerez
diger diğer
farkina farkına
versıyonu versiyonu
kım kim
zorlandim zorlandım
kostek köstek
kendı kendi
yogun yoğun
capraz çapraz
yilmaz yılmaz
aılecek ailecek
verılen verilen
orjinaldir orijinaldir
anlıyan anlayan
maka makam
neymıs neymiş
silahli silahlı
zorlanmadim zorlanmadım
tarafinda tarafında
olaçak olacak
bakilirsa bakılırsa
iliskisi ilişkisi
olanlarin olanların
seyırlık seyirlik
binalarin binaların
yarisinda yarısında
degerini değerini
gucu gücü
sanatlari sanatları
yapıcaktı yapacaktı
durus dürüş
ustelik üstelik
fazlaydi fazlaydı
sahaneydi şahaneydi
flimler filmler
yanlız yalnız
yukariya yukarıya
esek eşek
sacmaydı saçmaydı
oyuncagi oyuncak
yanlıs yanlış
olabiliceğini olabileceğini
sinif sınıf
taniyor tanıyor
gerçı gerçi
goruntusunden görüntüsünden
yapraklari yaprakları
dıslanmıs dışlanmış
gulme gülme
4e 4'e
yaslari yaşları
teşekkurler teşekkürler
degiştirmek değiştirmek
olsaydi olsaydı
diycek diyecek
söyleceğim söyleyeceğim
fasülye fasulye
tasi taşı
şahene şahane
gecıp geçip
diyolar diyorlar
ertas Ertaş
gecın geçin
kizgin kızgın
tesekkurler teşekkürler
deıl değil
gayert gayet
yersızdı yersizdi
harıka harika
olusturulan oluşturulan
hosuma hoşuma
hügo Hugo
yuzde yüzde
yasiyoruz yaşıyoruz
yazdıgı yazdığı
ılk ilk
makinasi makinesi
baslangici başlangıcı
ıle ile
birbiryle birbiriyle
yasiyorum yaşıyorum
orjinalden orijinalden
elestiri eleştiri
kokenli kökenli
bikaç birkaç
calıstıgınız çalıştığınız
esyalari eşyaları
bulamassınız bulamazsınız
mımıkler mimikler
karsimizda karşımızda
kalacagına kalacağına
bolumuydu bölümüydü
olagan olağan
gıbısı gibisi
mevye meyve
huzunlu hüzünlü
harıcı harici
kirac kıraç
silicek silecek
aracılığla aracılık
ıhtımalle ihtimalle
gosterdikleri gösterdikleri
bılet bilet
afganistanda Afganistan'da
tetikci tetikçi
çalışıyo çalışıyor
basbas paspas
bılen bilen
ıdı idi
harikaydıı harikaydı
utanc utanç
hastaligi hastalığı
standi standı
ıhtımalı ihtimali
ortalamanin ortalamanın
bekleyebılırsınız bekleyebilirsiniz
coban çoban
bilader birader
bkmak bakmak
kapali kapalı
olabılıcek olabilecek
kesinlile kesinlikle
degecek değecek
turkiye türkiye
dıkkatlı dikkatli
kocanin kocanın
zorlugu zorluğu
ustasi ustası
masallari masalları
hoop hop
titanic Titanic'e
doldukca doldukça
kadarmı kadar
kesinlikl kesinlikle
toplanmis toplanmış
doctor doktor
kesinlike kesinlikle
atlamis atlamış
begenmesek beğenmesek
çalişiyor çalışıyor
çanakkaleye Çanakkale'ye
alacakaranlik alacakaranlık
kafamizda kafamızda
duz düz
çıglık çiğlik
sacmaydi saçmaydı
hindistanda Hindistan'da
goturen götüren
yarisi yarısı
duk dük
mesale mesela
konusmasını konuşmasını
mesala mesela
dünki dünkü
çirpma çırpma
potterın Potter'in
bikac birkaç
goturdu götürdü
ravsiye tavsiye
kenal Kenan
dusunurum düşünürüm
solcan solucan
sebnem şebnem
heyecanli heyecanlı
sinav şınav
sacmalik saçmalık
arkadasımın arkadaşımın
maas maaş
ayrica ayrıca
restorant restoran
bisi bisiklet
geldikce geldikçe
aradıgımız aradığımız
simdiden şimdiden
yukaridaki yukarıdaki
duyarli duyarlı
gulen gülen
mesaji mesajı
tale talep
istedım istedim
birz biraz
gizel güzel
bircok birçok
bombostu bomboştu
edıyorum ediyorum
lüzümsuz lüzumsuz
evlenırken evlenirken
ogluna oğluna
gecerli geçerli
smıth Smith
bird bir
