simdikilerde şimdikilerde
birakacaktim bırakacaktım
çaginiz çağınız
köpekbalıginin köpekbalığının
kurtarir kurtarır
çöktügü çöktüğü
görünüsünün görünüşünün
osmanliyi osmanlıyı
kurtarin kurtarın
harcayip harcayıp
amaciniza amacınıza
osmanliya osmanlıya
gerektigine gerektiğine
çikislariyla çıkışlarıyla
çaginin çağının
çiktiginda çıktığında
tasimayan taşımayan
bulunabilecegini bulunabileceğini
boguyoruz boğuyoruz
dövuş dövüş
harcasinlar harcasınlar
izlenilebilirligindeki izlenilebilirliğindeki
ögütleyen öğütleyen
yukleyebılmesı yükleyebilmesi
sorusturma soruşturma
heyecanlandirmadi heyecanlandırmadı
bitmemislik bitmemişlik
sad şad
baglanmama bağlanmama
Batmanimiz Batmanımız
oynayanin oynayanın
reklamlariydi reklamlarıydı
Çigli Çığlı
gençligini gençliğini
yapaylik yapaylık
kalaninda kalanında
dusundurmedi düşündürmedi
zanlinin zanlının
rahatsizliklardan rahatsızlıklardan
arastirmaya araştırmaya
ugrasilmadigi uğraşılmadığı
sirittigi sırıttığı
heyecanlaniyor heyecanlanıyor
rolundekı rolündeki
yardimcilari yardımcıları
ıstanbulluları istanbulluları
çavus çavuş
bulabilecegi bulabileceği
cekımlerıne çekimlerine
gulerdi gülerdi
puaninin puanının
kullanicilarin kullanıcıların
sehirlerini şehirlerini
benzetebilmisler benzetebilmişler
olmamisti olmamıştı
Istanbulu İstanbulu
gise gişe
yariscisi yarışçısı
düsman düşman
yitige yitiğe
oyunculuklarin oyunculukların
karsilastim karşılaştım
bakildiğinda bakıldığında
eglenmistim eğlenmiştim
anlatamamis anlatamamış
begenmemisler beğenmemişler
bakildiginda bakıldığında
skıcı skici
olabilecegı olabileceği
gorecegiz göreceğiz
basyapıt başyapıt
yataginda yatağında
Amacim Amacım
kilikliyi kılıklıyı
izlemisler izlemişler
yılmazi yılmazı
sikisma sıkışma
planlanmisti planlanmıştı
kilitlenilmis kilitlenilmiş
atmalari atmaları
karsilayamadi karşılayamadı
sacmaliklarla saçmalıklarla
yansitmiyor yansıtmıyor
sölene şölene
Esinlenmemis Esinlenmemiş
ugratabilir uğratabilir
karnindan karnından
anlamini anlamını
komigime komiğime
müzige müziğe
boğusur boğuşur
kotarilmasi kotarılması
kurtaramiyor kurtaramıyor
elestirenlerin eleştirenlerin
yapiyla yapıyla
oynamamiş oynamamış
sevmeyeceginiz sevmeyeceğiniz
bayilsam bayılsam
EDIYORUM EDİYORUM
yayinlamislar yayınlamışlar
gozukenlerin gözükenlerin
dönüstürmeye dönüştürmeye
bulmasina bulmasına
gonderirken gönderirken
Insanları İnsanları
Amerikali Amerikalı
sevısırken sevişirken
anlatalim anlatalım
attirmaz attırmaz
yayınlanmamaliydi yayınlanmamalıydı
konuşmalari konuşmaları
milliyetciliği milliyetçiliği
karsindaki karşındaki
ızletmeyı izletmeyi
edeceginin edeceğinin
insanoglu insanoğlu
ugrasin uğraşın
cikaracaksiniz çıkaracaksınız
elestirisel eleştirisel
babaligi babalığı
açinizi açınızı
baglanmiyor bağlanmıyor
eşkiyadan eşkıyadan
çalismadan çalışmadan
askla aşkla
aglatti ağlattı
hayransaniz hayransanız
YASITLARIMDA YAŞITLARIMDA
öldügünde öldüğünde
araciligiyla aracılığıyla
raplik raplık
uzaylilarla uzaylılarla
isaretiyle işaretiyle
Coruh Çoruh
Tintin Tıntın
karsilamasa karşılamasa
fbi fbı
etkilenmisler etkilenmişler
mucadelesini mücadelesini
ılgı ilgi
aranizda aranızda
suan şuan
yadirgandi yadırgandı
mucadelesine mücadelesine
sikisip sıkışıp
yildizin yıldızın
yildizim yıldızım
kisin kısın
daginiklik dağınıklık
FILMDEN FİLMDEN
tanimi tanımı
rolunun rolünün
surukleyiciligi sürükleyiciliği
Nıck Nick
Markina Markına
açısısıyla açışışıyla
bosverin boşverin
tanima tanıma
SESLENIYORUM SESLENİYORUM
izlemeyecegimde izlemeyeceğimde
guluslerini gülüşlerini
ızlenmesi izlenmesi
cekilmemis çekilmemiş
oyunculuklardi oyunculuklardı
askiya askıya
islendigi islendiği
oldugumdu olduğumdu
katkida katkıda
kismini kısmını
baskanlarindan başkanlarından
kizkardesinin kızkardeşinin
gozluklerin gözlüklerin
olsaymis olsaymış
gucumuz gücümüz
sinemamizin sinemamızın
solmasin solmasın
Akildan Akıldan
duydugumda duyduğumda
rolundeki rolündeki
sablonunu şablonunu
gormemesi görmemesi
sonuçlaniyor sonuçlanıyor
kirdigi kırdığı
zekayi zekayı
basarisiz başarışız
dogallıkta doğallıkta
alisverisinde alışverişinde
zulmu zulmü
uzaylilarin uzaylıların
aldatiyorlar aldatıyorlar
duygulanmaniza duygulanmanıza
rahıbe rahibe
Izlemek İzlemek
izleyebilecegi izleyebileceği
dunyayi dünyayı
yansitabilmek yansıtabilmek
damarimizdirlar damarımızdırlar
yasamadigi yasamadığı
Stiler Ştiler
dunyaya dünyaya
kayboldugu kaybolduğu
Oyalayici Oyalayıcı
babasini babasını
kiskandim kıskandım
şarkılarıni şarkılarını
Asagilarda Aşağılarda
yaniliyorsunuz yanılıyorsunuz
olmamdi olmamdı
çagrisimlar çağrışımlar
Yune Yüne
yazamiyorum yazamıyorum
lın lin
yayginlasan yaygınlaşan
ilişkınızde ilişkinizde
babasina babasına
vurdugun vurduğun
baglanmadi bağlanmadı
olusumlari oluşumları
yapilma yapılma
günlügüne günlüğüne
yapmasiydi yapmasıydı
TERAZISI TERAZİSİ
degmemis değmemiş
dolayisi dolayışı
davranişları davranışları
bakislari bakışları
gercekcıydı gerçekçiydi
karizmayi karizmayı
simulasyonları simülasyonları
duyarsaniz duyarsanız
yakalaniyor yakalanıyor
basamaklarini basamaklarını
tasimisti taşımıştı
yaptiranin yaptıranın
bikmayacağım bıkmayacağım
Baylin Baylın
harcaniyor harcanıyor
olmeden ölmeden
oglanina oğlanına
cekinde çekinde
oynayabilecegini oynayabileceğini
minimalin minimalın
üçluyu üçlüyü
dolacaktir dolacaktır
kosuda koşuda
yonetmenlik yönetmenlik
Arsen Arşen
begenmeyebilirsiniz beğenmeyebilirsiniz
sorariz sorarız
iyilesen iyileşen
dövüstürmesi dövüştürmesi
oyunculugunu oyunculuğunu
hizmetcileri hizmetçileri
Insanlara İnsanlara
boyayip boyayıp
baginin bağının
asmadigi aşmadığı
ızletmeye izletmeye
ınandırarak inandırarak
sonuçlari sonuçları
içeriginde içeriğinde
oynamamis oynamamış
uzatmislar uzatmışlar
gecebilmişler geçebilmişler
basladigim başladığım
buyutuyorsun büyütüyorsun
kaynadigi kaynadığı
psikolojıleri psikolojileri
acikcasi açıkçası
ulastirmak ulaştırmak
oyunculuguna oyunculuğuna
ceksinler çeksinler
basrolde başrolde
kaygilardan kaygılardan
utopyada ütopyada
aliskanliklari alışkanlıkları
formulünün formülünün
Keıra Keira
oyunculugumu oyunculuğumu
gelisiyor gelişiyor
kullanilmayacak kullanılmayacak
aslansin aşlansın
calıntı çalıntı
serıye seriye
aglatma ağlatma
yalnizligi yalnızlığı
oldürülen öldürülen
kasiliyor kasılıyor
görüşume görüşüme
uyarlandi uyarlandı
kizkardesinde kızkardeşinde
uzatmayayim uzatmayayım
citleyip çitleyip
olgunlastirilip olgunlaştırılıp
yalnizliga yalnızlığa
profesyonelligini profesyonelliğini
sinemamizda sinemamızda
isledigini işlediğini
inanamadigim inanamadığım
edebilecegin edebileceğin
degisime değişime
oden öden
sekle şekle
sıkıldıgını sıkıldığını
ugramaniz uğramanız
FILMLERDEN FİLMLERDEN
yonetmenin yönetmenin
sairlerimiz şairlerimiz
verecegınıze vereceğinize
dualarinizi dualarınızı
çikamamis çıkamamış
EVIM EVİM
satim şatım
tutunamazdi tutunamazdı
MIT MİT
izledikce izledikçe
yekun yekün
anlamistik anlamıştık
övdügün övdüğün
zekasi zekası
Iş İş
lekelemeyecegi lekelemeyeceği
bicili bıcılı
dunyalari dünyaları
savastan savaştan
saçmaligi saçmalığı
elestirmenler eleştirmenler
sinemasindaki sinemasındaki
ilgilenemedigi ilgilenemediği
izledigi izlediği
saçmaliga saçmalığa
yaratiklarla yaratıklarla
hakkettiginden hakkettiğinden
sikistirsalar sıkıştırsalar
dortnala dörtnala
YENILMEZ YENİLMEZ
başlamiş başlamış
ogulda oğulda
dayanmamasi dayanmaması
baktiginizda baktığınızda
imani imanı
anlatabilmisimdir anlatabilmişimdir
yanacaktir yanacaktır
teroristleri teröristleri
surlarin surların
Bosnaklara Boşnaklara
kurtarilmaya kurtarılmaya
sikilmamak sıkılmamak
karizmasi karizması
kazandirdiginiz kazandırdığınız
anlatilmamaliydi anlatılmamalıydı
atmiyorsunuz atmıyorsunuz
kapismasina kapışmasına
ozetini özetini
adamlarindan adamlarından
Mallik Mallık
sefkatli şefkatli
anlamıstım anlamıştım
renklendirilmis renklendirilmiş
duşündüğüm düşündüğüm
ozlesmis özleşmiş
ÇİKARSİNLAR ÇIKARSINLAR
suikasttı suikastti
goturemedim götüremedim
sempatizani sempatizanı
HEPSINDEN HEPSİNDEN
koydugunuzda koyduğunuzda
yükseldigi yükseldiği
genctir gençtir
yatiriyor yatırıyor
harcattiklari harcattıkları
beklemistik beklemiştik
siritmiyor sırıtmıyor
yaratiklarin yaratıkların
göründügünde göründüğünde
eşkiyalığı eşkıyalığı
aksadigi aksadığı
korsani korsanı
adaylarindan adaylarından
tanrilarinin tanrılarının
kralini kralını
basitliginden basitliğinden
sessizligiyle sessizliğiyle
durmasindan durmasından
gencimiz gençimiz
heyecanlandirdi heyecanlandırdı
vasattir vasattır
turdendi türdendi
Sâni Şânı
gösterdigimde gösterdiğimde
tamamlamıs tamamlamış
edebiyatinin edebiyatının
kazanmasi kazanması
askini aşkını
dramin dramın
Iç İç
kiracagina kıracağına
yaşanabilecegini yaşanabileceğini
sinirina sınırına
acip açıp
önyargisiyla önyargısıyla
acin acın
bozulmasin bozulmasın
izlemedıgım izlemediğim
arastırmış araştırmış
tutunmasi tutunması
kurbani kurbanı
konustun konuştun
pürmelalimizi pürmelalımızı
tekniginin tekniğinin
kayanin kayanın
lugatiyla lügatıyla
almayacagı almayacağı
haykirmaliyiz haykırmalıyız
Idare İdare
agridi ağrıdı
gösterisli gösterişli
dönüsleriyle dönüşleriyle
gördügümü gördüğümü
dogalligi doğallığı
yaniltmadi yanıltmadı
dunyalar dünyalar
yakalamamalari yakalamamaları
calismislar çalışmışlar
bittigine bittiğine
bakiyorsunuz bakıyorsunuz
anlari anları
igrenc iğrenç
gelindigini gelindiğini
degistirilmis değiştirilmiş
skandali skandalı
puanin puanın
sandiginiz sandığınız
basarabilmis başarabilmiş
bagimsizlik bağımsızlık
hayallerimı hayallerimi
konusabilse konuşabilse
ornektir örnektir
Koruyucularina Koruyucularına
dokunusuyla dokunuşuyla
ugrasiyorum uğraşıyorum
kazandirmak kazandırmak
sanina şanına
patlatsaydi patlatsaydı
yasadigi yaşadığı
LI Lİ
kismiyla kısmıyla
begenmeseler beğenmeseler
anlatabılırlerdi anlatabilirlerdi
Detaylarina Detaylarına
giristigi giriştiği
bulamadiysaniz bulamadıysanız
heyecanlandiran heyecanlandıran
destansi destansı
hikayenın hikayenin
gerceklerden gerçeklerden
ögretircesine öğretircesine
dogalliginda doğallığında
gencten gençten
sizofren şizofren
KI Kİ
baglamadan bağlamadan
kararlari kararları
Atlikarinca Atlıkarınca
partını partini
Catman Çatman
canlandirdigimiz çanlandırdığımız
vahsete vahşete
harcandiysa harcandıysa
esebilecegi eşebileceği
olacaga olacağa
dezavantajlarindan dezavantajlarından
gondermeli göndermeli
It İt
Is İs,İş
şeriatçi şeriatçı
bagdas bağdaş
Ip İp
Il İl
dusundurur düşündürür
kostumunden kostümünden
hayatindaki hayatındaki
Ig İğ
yazilabilir yazılabilir
canlandiriyor çanlandırıyor
canlandirabilirdi canlandırabilirdi
çalismalarindan çalışmalarından
anladiniz anladınız
bakamiyorsunuz bakamıyorsunuz
attirmiyor attırmıyor
YUKSELTIR YÜKSELTİR
siginin siğinin
asmayin asmayın
gecinden geçinden
aglar ağlar
hatirladik hatırladık
yansitamadiği yansıtamadığı
çiktiklari çıktıkları
tanimlari tanımları
gogsunuzun göğsünüzün
cikiverdi çıkıverdi
yorumcularinin yorumcularının
Tunes Tüneş
ugraşılır uğraşılır
geçmisine geçmişine
Isveç İsveç
Söylenildigi Söylenildiği
calistiginiz çalıştığınız
satoda şatoda
sarkiyi şarkiyi
yonetmeni yönetmeni
yonetmene yönetmene
yuzlesmemek yüzleşmemek
sarkiya şarkıya
cikmasini çıkmasını
cevirelim çevirelim
yapilanmanin yapılanmanın
cildiracagim çıldıracağım
korktugu korktuğu
aradigimiz aradığımız
biçilmis biçilmiş
çikmayan çıkmayan
izlesende izleşende
karsilayamamis karşılayamamış
rolunde rolünde
masti maştı
sumuk sümük
bilemedigim bilemediğim
davranirsaniz davranırsanız
prologunda proloğunda
cizmesine çizmesine
fragmandakı fragmandaki
başaramamis başaramamış
cevrelerindeki çevrelerindeki
sabirsizlikla sabırsızlıkla
uguru uğuru
çekilmemis çekilmemiş
yakinligini yakınlığını
gencimizi gençimizi
tekrarlik tekrarlık
aglatan ağlatan
Gollum Gollüm
çalistigi çalıştığı
Tunde Tünde
sorguladim sorguladım
İZLEMEDIM İZLEMEDİM
Inkar İnkar
gulmeliyim gülmeliyim
çagdas çağdaş
tasarimcisi tasarımcısı
yalayip yalayıp
Izlemenizi İzlemenizi
unutamayacagim unutamayacağım
basaramamis başaramamış
Iris Irıs
kasabasi kasabası
oturacaktir oturacaktır
yüreginize yüreğinize
piranalariyla piranalarıyla
olusturulmaliydi oluşturulmalıydı
kazanmali kazanmalı
Tıpki Tıpkı
konulsaydi konulsaydı
yabancilasacagimiz yabancılaşacağımız
sapiklik sapıklık
sinemasınin sinemasının
sinaması sınaması
cikartsaydi çıkartsaydı
çilginligi çılgınlığı
Yesilbas Yeşilbaş
sartlarinin şartlarının
çagindaki çağındaki
üstadin üstadın
FILMLERINDEN FİLMLERİNDEN
kotulerle kötülerle
sinamaya sınamaya
ilkyari ilkyarı
sorgulanmasina sorgulanmasına
kopyalanmis kopyalanmış
minor minör
düstüm düştüm
cocuksu çocuksu
saglamis sağlamış
sagci sağcı
sasirtmak şaşırtmak
duser düşer
sizofreniden şizofreniden
babasiyla babasıyla
gulmusuzdur gülmüşüzdür
Inanılması İnanılması
suitli süitli
cocuksa çocuksa
acilarini acılarını
yapmamasini yapmamasını
dermani dermanı
yollayacaginiz yollayacağınız
heteroseksuel heteroseksüel
gerçeklesmesinde gerçekleşmesinde
acilarina açılarına
izlememisim izlememişim
düsmesinin düşmesinin
Hoşlanmısımdır Hoşlanmışımdır
anlamamis anlamamış
gercegin gerçeğin
carpışma çarpışma
yapilani yapılanı
tanimlama tanımlama
ekledigi eklediği
yonetmenligi yönetmenliği
aydınlik aydınlık
Icınde İçinde
yapilana yapılana
dusundugunu düşündüğünü
uyandiracagi uyandıracağı
askida askıda
haksizliklar haksızlıklar
çalisirsiniz çalışırsınız
dudagina dudağına
gerçekçiligi gerçekçiliği
Yasanilmis Yasanılmış
Izleyip İzleyip
Yozlasma Yozlaşma
amerikalilar amerikalılar
Izleyin İzleyin
biricigin biriciğin
otomatige otomatiğe
Halali Halalı
kotulerin kötülerin
harcadigim harcadığım
ugratmayacak uğratmayacak
bakıldiğında bakıldığında
insanina insanına
saşkın şaşkın
Sapkami Şapkamı
safagı şafağı
sarkisi şarkısı
cıgı çiği
anlayamiyorsunuz anlayamıyorsunuz
besledigi beşlediği
egiliminde eğiliminde
aranir aranır
görüsme görüşme
geçistirmek geçiştirmek
cocuklarinizin çocuklarınızın
aglatmayi ağlatmayı
fragmaniyla fragmanıyla
Urkutucu Ürkütücü
Barkin Barkın
farkındalıgını farkındalığını
asinayiz asınayız
bikti bıktı
abıdesı abidesi
yorumlayacagı yorumlayacağı
begenmeyeler beğenmeyeler
adiyor adıyor
isyanimi isyanımı
aradiysam aradıysam
yasamayacaktim yasamayacaktım
uzaklaştırdiginizda uzaklaştırdığınızda
saldirilmis saldırılmış
açilariyla açılarıyla
dinlememis dinlememiş
göreceginiz göreceğiniz
bırakip bırakıp
ciktiktan çıktıktan
bogmak boğmak
vampi vampı
düsünüyordum düşünüyordum
baslarindan başlarından
MANEVI MANEVİ
çiksaydi çıksaydı
kumarbazi kumarbazı
soyleyelim söyleyelim
çiktigimda çıktığımda
cikabilecek çıkabilecek
yapilabilsin yapılabilsin
yarasirdi yaraşırdı
soylemekte söylemekte
vurgulandigi vurgulandığı
ugruyoruz uğruyoruz
basinin başının
çikarmadi çıkarmadı
yaraticilikta yaratıcılıkta
çikinca çıkınca
attigi attığı
kolladigim kolladığım
gorecegi göreceği
teknigin tekniğin
gencinden gençinden
korudugunu koruduğunu
ayrilmalari ayrılmaları
bütünlestirmeyi bütünleştirmeyi
sinamasi sınaması
begenecekler beğenecekler
cıka çıka
civil çıvıl
kaptiriyor kaptırıyor
birakın bırakın
gondermelerden göndermelerden
yazilarin yazıların
sahtekarlıgın sahtekarlığın
ONCELİKLE ÖNCELİKLE
hissettiginizde hissettiğinizde
atlasana atlaşana
Bahari Baharı
cikarilmislar çıkarılmışlar
basrolleri başrolleri
çilginiyim çılgınıyım
ovmekte övmekte
siparislerini siparişlerini
kotarmis kotarmış
goturur götürür
Izleyen İzleyen
tanimam tanımam
surukleyicilik sürükleyicilik
istemıyorsanız istemiyorsanız
belirttigi belirttiği
tanimak tanımak
inmeyecegim inmeyeceğim
saglamci sağlamcı
Ingilizlerin İngilizlerin
yapildigi yapıldığı
aglatabilir ağlatabilir
yapildigini yapıldığını
evladin evladın
cekimle çekimle
Teknigini Tekniğini
dayanamamanin dayanamamanın
getirdigini getirdiğini
zamanima zamanıma
oyunculugudur oyunculuğudur
yikmayan yıkmayan
oynadim oynadım
cekenlere çekenlere
sayamayacagım sayamayacağım
konusturacak konuşturacak
örneginde örneğinde
bekledigimize beklediğimize
basmakalipliğından basmakalıplığından
gözükmedigi gözükmediği
sömürdügünü sömürdüğünü
firsatçi fırsatçı
sinemalari sinemaları
vahsetine vahşetine
canlilari çanlıları
artmis artmış
plakalarimiz plakalarımız
KESIN KEŞİN
kistas kıstas
davranmadiklarini davranmadıklarını
Çiktiginiz Çıktığınız
yapmanin yapmanın
azaltilabilirdi azaltılabilirdi
yazgisindan yazgısından
Neticelenmemis Neticelenmemiş
yaradigi yaradığı
geçmeyecegi geçmeyeceği
parlamamis parlamamış
anlasana anlaşana
firlamis fırlamış
okuyacagım okuyacağım
iskencelerle işkencelerle
bakislar bakışlar
isgali işgali
solenıyle şöleniyle
baglayamamis bağlayamamış
LIFE LİFE
genlige genliğe
isgale işgale
BELLI BELLİ
amerıkalılar amerikalılar
Bogac Boğaç
kiskirtici kışkırtıcı
gulusup gülüşüp
almaktadir almaktadır
baslamama başlamama
ızbandut izbandut
kırklıgı kırklığı
sadeligiyle sadeliğiyle
iliskiyi ilişkiyi
gösterilecegini gösterileceğini
iliskiye ilişkiye
ugrariz uğrarız
ıdeal ideal
yaptirmamanizi yaptırmamanızı
sonuçlarini sonuçlarını
ögrendigimde öğrendiğimde
aglatmasi ağlatması
ugrarim uğrarım
duygusallasabilecegin duygusallaşabileceğin
oncede öncede
düsündükçe düşündükçe
döseginde döşeğinde
görebilmis görebilmiş
hedefledigi hedeflediği
barindirmistir barındırmıştır
haketmistir haketmiştir
girmistir girmiştir
yummayip yummayıp
Istila İstila
varligimizin varlığımızın
yarisinin yarışının
basarmistir basarmıştır
girmistim girmiştim
sapiksi sapıksı
sarkili sarkılı
pasifliginin pasifliğinin
cilerin çilerin
hizlisin hızlısın
Ezılmıs Ezilmiş
koltugumda koltuğumda
akisiyla akısıyla
ızlendiği izlendiği
düsünülmüstü düşünülmüştü
harcamislar harcamışlar
yanlisliklari yanlışlıkları
Oluyu Ölüyü
dakikaniz dakikanız
ogrenırım öğrenirim
aglatabilen ağlatabilen
duyduklari duydukları
kirip kırıp
rahatlayinca rahatlayınca
yapmasaydiniz yapmasaydınız
gururlanmanin gururlanmanın
açiklik açıklık
saskinligimi şaşkınlığımı
dakikanin dakikanın
kuguya kuğuya
gozyaslarini gözyaşlarını
tutamadiginiz tutamadığınız
öldügü öldüğü
Etrafimda Etrafımda
gulemedim gülemedim
Radari Radarı
bolumuyle bölümüyle
Dugmeden Düğmeden
kazandiklari kazandıkları
yasalarina yasalarına
istememis istememiş
elciligini elçiliğini
normalmis normalmiş
zorlamis zorlamış
dalip dalıp
uyandirisli uyandırışlı
basarmıstır başarmıştır
gozyaslarimi gözyaşlarımı
Alistigimizin Alıştığımızın
gözyaslariyla gözyaşlarıyla
Harekati Harekatı
pitti pıttı
yeşerecegi yeşereceği
sinma sınma
bilirkisilere bilirkişilere
farklisi farklısı
hazircilar hazırcılar
izlememis izlememiş
baydigini baydığını
capkinlik çapkınlık
gencimizin gençimizin
varolusu varoluşu
MÜZIK MÜZİK
onyargili önyargılı
uyarlamasiyla uyarlamasıyla
begenememe beğenememe
Izlemeden İzlemeden
yadirgamaz yadırgamaz
yaptigin yaptığın
genciyle gençiyle
saldirarak saldırarak
bastiramamis bastıramamış
degistirilemez değiştirilemez
mukemmeliyetci mükemmeliyetçi
Ilgınc İlginç
yayinlamalari yayınlamaları
rutbeleri rütbeleri
soracaksiniz soracaksınız
yapimlardır yapımlardır
Incite İncite
ayrimi ayrımı
Istvan İstvan
aksaniyla aksanıyla
canlandirildi çanlandırıldı
gecmişteki geçmişteki
yakalandiktan yakalandıktan
sasiran şaşıran
kırıkliğı kırıklığı
varligiyla varlığıyla
gömülmüstü gömülmüştü
çikiyorsunuz çıkıyorsunuz
ugratmadigi uğratmadığı
elestirmenlerini eleştirmenlerini
gecişler geçişler
korunmasindan korunmasından
gögüsleri göğüsleri
cekimleri çekimleri
gulusuyle gülüşüyle
cekimlere çekimlere
Suanda Şuanda
basladiginin başladığının
cekimde çekimde
baglarken bağlarken
ustayi ustayı
Omrunuzde Ömrünüzde
romanini romanını
baglanamiyorsun bağlanamıyorsun
verememis verememiş
ayaklandirmak ayaklandırmak
karanligi karanlığı
fılmlerının filmlerinin
fılmınde filminde
pariltilarina parıltılarına
akibeti akıbeti
kuculmek küçülmek
lınının lininin
Yeraltindan Yeraltından
karanliga karanlığa
anlatilirdi anlatılırdı
biraktiginiz bıraktığınız
universal üniversal
revacta revaçta
ıstanbulunu istanbulunu
gögsüm göğsüm
guveniyordum güveniyordum
İzledigim İzlediğim
gerceği gerçeği
gelenegin geleneğin
gerçekciydi gerçekçiydi
Paganini Paganını
tanistirdi tanıştırdı
yariyi yarıyı
degiştirmez değiştirmez
yakalamis yakalamış
uyandirmayan uyandırmayan
Karasakal Karaşakal
anlamsizlastiran anlamsızlaştıran
tabulari tabuları
ızleyebilecegı izleyebileceği
host hoşt,höst
yukselmiyor yükselmiyor
actim açtım
sevmistim sevmiştim
düsüncesi düşüncesi
versiyonlari versiyonları
daldi daldı
huzunlenip hüzünlenip
Islami İslamı
fılmmiş filmmiş
kazandiklarini kazandıklarını
düsünülüyorsa düşünülüyorsa
diyeceginize diyeceğinize
cekılmesınde çekilmesinde
kokakliginiza kokaklığınıza
tatminkardi tatminkardı
özelliginizin özelliğinizin
aktorlere aktörlere
sembolu sembolü
Yasadigimim Yaşadığımım
uğrasarak uğraşarak
adımin adimin
gerçekcilik gerçekçilik
oturtulmasi oturtulması
aglamadim ağlamadım
bogulabilirsiniz boğulabilirsiniz
sürükleyiciligi sürükleyiciliği
guldüm güldüm
kaynanasina kaynanasına
etkilediğı etkilediği
ızlettıren izlettiren
saniyorsunuz sanıyorsunuz
ızleyıcının izleyicinin
kirar kırar
elestire eleştire
yazisina yazışına
gidebiliyorsaniz gidebiliyorsanız
günümuzde günümüzde
sarkici sarkıcı
citasini çıtasını
asamiyor asamıyor
kararidir kararıdır
kostumunu kostümünü
sarfedildiginde sarfedildiğinde
cikardigi çıkardığı
okumadim okumadım
Ruhlarınizin Ruhlarınızın
egitimler eğitimler
butcelerını bütçelerini
düsünmemistim düşünmemiştim
Pesci Peşçi
olmeyi ölmeyi
Pesce Pesçe
karsiyasiniz karşıyasınız
ayrilisi ayrılısı
kardeslerin kardeşlerin
çiglik çiğlik
fisiltilardan fısıltılardan
yavanlastirmis yavanlaştırmış
batili batılı
tartisilamayacaginin tartışılamayacağının
uyarlanmıs uyarlanmış
basladiginda başladığında
yazamiyorsan yazamıyorsan
baktiğimizda baktığımızda
OTESİ ÖTESİ
cekilseydi çekilseydi
hatirlatmaktadir hatırlatmaktadır
hezeyanlari hezeyanları
çekılmiş çekilmiş
aşinaliği aşinalığı
baslayalım başlayalım
sinamada sınamada
izleyebilecegim izleyebileceğim
isçiliği işçiliği
çarpiyor çarpıyor
serisiye şerisiye
tuzagına tuzağına
yaklasimiyla yaklaşımıyla
saldiriyor saldırıyor
şasarim şaşarım
israriyla ısrarıyla
dunyam dünyam
olusturabiliyor oluşturabiliyor
sivasın sıvasın
caldiniz çaldınız
hırsızin hırsızın
bırakıldıgı bırakıldığı
asagilik aşağılık
dusseydi düşseydi
rüzgarin rüzgarın
varligi varlığı
citlatip çıtlatıp
yapimlari yapımları
yanlariyla yanlarıyla
düsünmekten düşünmekten
İlginc İlginç
cekmisler çekmişler
söylemis söylemiş
yapimlara yapımlara
çikarsa çıkarsa
maci maçı
Italyan İtalyan
TUMDEN TÜMDEN
bosluklarina boşluklarına
dum düm
yaniltmadiniz yanıltmadınız
gerceklikten gerçeklikten
Nasim Nasım
sagligina sağlığına
taniyip tanıyıp
evrenın evrenin
inanirdim inanırdım
çikartalim çıkartalım
heyecanlandirici heyecanlandırıcı
yorumlarimizi yorumlarımızı
yakaladiginda yakaladığında
cimbizla cımbızla
tami tamı
sinifinda sınıfında
hatirlattığın hatırlattığın
elestirmesini eleştirmesini
Istanbulun İstanbulun
yapamadıgımı yapamadığımı
sacmalamıslar saçmalamışlar
orgusunde örgüsünde
aklimiza aklımıza
İZLEYIN İZLEYİN
olmalıymis olmalıymış
gösterilmedı gösterilmedi
sinan sınan
çatismalar çatışmalar
Nazimsi Nazımsı
Citaklar Çıtaklar
izleyıcılere izleyicilere
oglunu oğlunu
turune türüne
Sivana Sıvana
yuvarlayip yuvarlayıp
taksinlar taksınlar
cıkardıgım çıkardığım
değımı değimi
karanligindaki karanlığındaki
uzaklastirir uzaklaştırır
karsilanmayacak karşılanmayacak
baymiyor baymıyor
basladigini başladığını
andiracakti andıracaktı
tabularimi tabularımı
insaninkinden inşanınkinden
odaklanirsak odaklanırsak
kemige kemiğe
hazirliklar hazırlıklar
konusmanın konuşmanın
olmamalaridir olmamalarıdır
İNSALLAH İNŞALLAH
kardeslerde kardeşlerde
inilmemis inilmemiş
taki takı
basardim başardım
indirgenmis indirgenmiş
kesinligi kesinliği
vızyona vizyona
olmesi ölmesi
bakilmistir bakılmıştır
vuruslarla vuruşlarla
asiveriyorlar asıveriyorlar
anlamayin anlamayın
oyunlarini oyunlarını
nude nüde
gelistirilmeyip geliştirilmeyip
oyunlarina oyunlarına
seydir şeydir
oynayanlarin oynayanların
yıkıldıgım yıkıldığım
siradisi sıradışı
aglamadan ağlamadan
deginmemis değinmemiş
yakisiksizdi yakışıksızdı
karsilasmasina karşılaşmasına
kiyaslanmayacak kıyaslanmayacak
önyargilarim önyargılarım
uyandirmisti uyandırmıştı
heyecanin heyecanın
yapmamalarini yapmamalarını
heyecanim heyecanım
bicimsel biçimsel
gamsiz gamsız
alacaginiza alacağınıza
sanatin sanatın
duyariz duyarız
ögretici öğretici
çikartti çıkarttı
ovücü övücü
abartildigi abartıldığı
pismanligi pişmanlığı
meçhuldur meçhuldür
hatirlatmakta hatırlatmakta
Gone Göne
Venezuella Venezüella
